     11    12    1
     12    12    1
     11    13    1
     12    13    1
     28    12    1
     29    12    1
     29    13    1
     26    14    1
     26    15    1
     27    15    1
     40    13    1
     40    14    1
     40    15    1
     51    15    1
     52    15    1
     53    15    1
     50    16    1
     51    16    1
     52    16    1
     11    22    1
     12    22    1
     13    22    1
     14    22    1
     10    23    1
     12    23    1
     13    23    1
     15    23    1
     10    24    1
     11    24    1
     14    24    1
     15    24    1
     10    25    1
     11    25    1
     14    25    1
     15    25    1
     10    26    1
     12    26    1
     13    26    1
     15    26    1
     11    27    1
     12    27    1
     13    27    1
     14    27    1
     34    22    1
     32    23    1
     33    23    1
     34    23    1
     31    24    1
     31    25    1
     32    25    1
     29    27    1
     30    27    1
     30    28    1
     27    29    1
     28    29    1
     29    29    1
     27    30    1
     49    24    1
     50    24    1
     51    24    1
     49    25    1
     50    25    1
     51    25    1
     47    26    1
     48    26    1
     49    26    1
     52    26    1
     53    26    1
     52    27    1
     53    27    1
     51    28    1
     52    28    1
     53    28    1
     51    29    1
     51    30    1
     13    34    1
     14    34    1
     13    35    1
     14    35    1
     13    36    1
     14    36    1
     13    37    1
     12    38    1
     14    38    1
     13    39    1
     15    39    1
     17    39    1
     18    39    1
     19    39    1
     14    40    1
     16    40    1
     17    40    1
     18    40    1
     19    40    1
     15    41    1 
     37    36    1
     37    37    1
     36    38    1
     38    38    1
     37    39    1
     37    40    1
     37    41    1
     37    41    1
     36    42    1
     38    42    1
     37    43    1
     37    44    1
     15    54    1
     16    54    1
     17    54    1
     18    54    1
     19    54    1
     15    55    1
     19    55    1
     45    50    1
     44    51    1
     46    51    1
     43    52    1
     45    52    1
     47    52    1
     43    53    1
     47    53    1
     45    54    1
     42    54    1
     41    54    1
     48    54    1
     49    54    1
     45    55    1
     40    55    1
     50    55    1
     44    56    1
     43    56    1
     41    56    1
     39    56    1
     46    56    1
     47    56    1
     49    56    1
     51    56    1
     45    57    1
     40    57    1
     50    57    1
     45    58    1
     42    58    1
     41    58    1
     48    58    1
     49    58    1
     43    59    1
     47    59    1
     43    60    1
     45    60    1
     47    60    1
     44    61    1
     46    61    1
     45    62    1
     3    5    1
     4    5    1
     3    6    1
     6    6    1
     6    7    1
     5    7    1
     9    5    1
     10    5    1
      9   6    1
     11    6    1
     13    6    1
     13    7    1
     12    7    1
     16    4    1
     17    4    1
     17    5    1
     17    6    1
     19    6    1
     18    7    1
     19    7    1
     23    3    1
     24    3    1
     23    4    1
     25    4    1
     25    5    1
     24    6    1
     24    7    1
     25    7    1
     30    4    1
     29    5    1
     31    5    1
     29    6    1
     31    6    1
     28    7    1
     29    7    1
     31    7    1
     32    7    1
     38    3    1
     39    3    1
     37    4    1
     39    4    1
     36    5    1
     35    6    1
     35    7    1
     36    7    1
     44    3    1
     45    3    1
     43    4    1
     46    4    1
     42    5    1
     44    5    1
     45    5    1
     47    5    1
     43    6    1
     46    6    1
     44    7    1
     45    7    1
     54    2    1
     55    2    1
     53    3    1
     56    3    1
     53    4    1
     56    4    1
     51    5    1
     52    5    1
     57    5    1
     58    5    1
     50    6    1
     59    6    1
     50    7    1
     59    7    1
     51    8    1
     52    8    1
     57    8    1
     58    8    1
     53    9    1
     56    9    1
     53   10    1
     56   10    1
     54   11    1
     55   11    1
     
